City,Country,Venue,Opening act(s),Attendance (tickets sold / available),Revenue,Tour,lat,lng,country_mapped
Kuala Lumpur,Malaysia,Putra Indoor Stadium,IamNeeta,"7,525 / 7,525","$998,608",The_Red_Tour,3.14,101.69,Malaysia
Singapore,Singapore,Singapore Indoor Stadium,Imprompt-3,,,The_Red_Tour,1.35,103.82,Singapore
Tokyo,Japan,Tokyo Dome,,"100,320 / 100,320","$10,586,828",The_1989_World_Tour,35.69,139.69,Japan
Tokyo,Japan,Tokyo Dome,,"100,320 / 100,320","$10,586,828",The_1989_World_Tour,35.69,139.69,Japan
Winchester,United States,City of Rock,,,,The_1989_World_Tour,39.19,-78.17,United States of America
Bossier City,United States,CenturyLink Center,Vance Joy,"12,459 / 12,459","$1,458,197",The_1989_World_Tour,32.52,-93.73,United States of America
Baton Rouge,United States,LSU Tiger Stadium,"Vance Joy
Shawn Mendes","50,227 / 50,227","$4,119,670",The_1989_World_Tour,30.45,-91.15,United States of America
Detroit,United States,Ford Field,"Vance Joy
Shawn Mendes","50,703 / 50,703","$5,999,690",The_1989_World_Tour,42.33,-83.05,United States of America
Louisville,United States,KFC Yum! Center,Vance Joy,"16,242 / 16,242","$1,863,281",The_1989_World_Tour,38.25,-85.76,United States of America
Cleveland,United States,Quicken Loans Arena,Vance Joy,"15,503 / 15,503","$1,732,041",The_1989_World_Tour,41.5,-81.69,United States of America
Pittsburgh,United States,Heinz Field,"Vance Joy
Shawn Mendes","54,801 / 54,801","$5,836,926",The_1989_World_Tour,40.44,-79.99,United States of America
Charlotte,United States,Time Warner Cable Arena,Vance Joy,"15,024 / 15,024","$1,627,798",The_1989_World_Tour,35.23,-80.84,United States of America
Raleigh,United States,PNC Arena,Vance Joy,"13,886 / 13,886","$1,653,762",The_1989_World_Tour,35.78,-78.64,United States of America
Philadelphia,United States,Lincoln Financial Field,"Vance Joy
Shawn Mendes","101,052 / 101,052","$11,987,816",The_1989_World_Tour,39.95,-75.17,United States of America
Philadelphia,United States,Lincoln Financial Field,"Vance Joy
Shawn Mendes","101,052 / 101,052","$11,987,816",The_1989_World_Tour,39.95,-75.17,United States of America
Cologne,Germany,Lanxess Arena,James Bay,"29,020 / 29,020","$2,054,690",The_1989_World_Tour,50.94,6.96,Germany
Cologne,Germany,Lanxess Arena,James Bay,"29,020 / 29,020","$2,054,690",The_1989_World_Tour,50.94,6.96,Germany
Amsterdam,Netherlands,Ziggo Dome,James Bay,"11,166 / 11,166","$800,829",The_1989_World_Tour,52.37,4.9,Netherlands
Glasgow,Scotland,SSE Hydro,Vance Joy,"11,021 / 11,021","$1,119,300",The_1989_World_Tour,55.86,-4.25,United Kingdom
Manchester,England,Manchester Arena,Vance Joy,"14,773 / 14,773","$1,478,760",The_1989_World_Tour,53.48,-2.24,United Kingdom
London,England,Hyde Park,,,,The_1989_World_Tour,51.51,-0.13,United Kingdom
Dublin,Ireland,3Arena,Vance Joy,"25,188 / 25,188","$1,975,510",The_1989_World_Tour,53.33,-6.25,Ireland
Dublin,Ireland,3Arena,Vance Joy,"25,188 / 25,188","$1,975,510",The_1989_World_Tour,53.33,-6.25,Ireland
Ottawa,Canada,Canadian Tire Centre,Vance Joy,"13,480 / 13,480","$1,325,480",The_1989_World_Tour,45.42,-75.7,Canada
Montreal,Canada,Bell Centre,Vance Joy,"14,770 / 14,770","$1,499,040",The_1989_World_Tour,45.5,-73.57,Canada
East Rutherford,United States,MetLife Stadium,"Vance Joy
Shawn Mendes
Haim","110,105 / 110,105","$13,423,858",The_1989_World_Tour,40.82,-74.07,United States of America
East Rutherford,United States,MetLife Stadium,"Vance Joy
Shawn Mendes
Haim","110,105 / 110,105","$13,423,858",The_1989_World_Tour,40.82,-74.07,United States of America
Washington,United States,Nationals Park,"Vance Joy
Shawn Mendes
Haim","85,014 / 85,014","$9,730,596",The_1989_World_Tour,38.91,-77.04,United States of America
Washington,United States,Nationals Park,"Vance Joy
Shawn Mendes
Haim","85,014 / 85,014","$9,730,596",The_1989_World_Tour,38.91,-77.04,United States of America
Chicago,United States,Soldier Field,"Vance Joy
Shawn Mendes
Haim","110,109 / 110,109","$11,469,887",The_1989_World_Tour,41.88,-87.63,United States of America
Chicago,United States,Soldier Field,"Vance Joy
Shawn Mendes
Haim","110,109 / 110,109","$11,469,887",The_1989_World_Tour,41.88,-87.63,United States of America
Foxborough,United States,Gillette Stadium,"Vance Joy
Shawn Mendes
Haim","116,849 / 116,849","$12,533,166",The_1989_World_Tour,42.09,-71.26,United States of America
Foxborough,United States,Gillette Stadium,"Vance Joy
Shawn Mendes
Haim","116,849 / 116,849","$12,533,166",The_1989_World_Tour,42.09,-71.26,United States of America
Vancouver,Canada,BC Place,"Vance Joy
Shawn Mendes","41,463 / 41,463","$4,081,820",The_1989_World_Tour,49.28,-123.12,Canada
Edmonton,Canada,Rexall Place,Vance Joy,"26,534 / 26,534","$2,387,080",The_1989_World_Tour,53.55,-113.47,Canada
Edmonton,Canada,Rexall Place,Vance Joy,"26,534 / 26,534","$2,387,080",The_1989_World_Tour,53.55,-113.47,Canada
Seattle,United States,CenturyLink Field,"Vance Joy
Shawn Mendes","55,711 / 55,711","$6,050,643",The_1989_World_Tour,47.61,-122.33,United States of America
Santa Clara,United States,Levi's Stadium,"Vance Joy
Shawn Mendes","102,139 / 102,139","$13,031,146",The_1989_World_Tour,37.35,-121.95,United States of America
Santa Clara,United States,Levi's Stadium,"Vance Joy
Shawn Mendes","102,139 / 102,139","$13,031,146",The_1989_World_Tour,37.35,-121.95,United States of America
Glendale,United States,Gila River Arena,Vance Joy,"26,520 / 26,520","$3,029,628",The_1989_World_Tour,33.53,-112.19,United States of America
Glendale,United States,Gila River Arena,Vance Joy,"26,520 / 26,520","$3,029,628",The_1989_World_Tour,33.53,-112.19,United States of America
Los Angeles,United States,Staples Center,"Vance Joy
Haim","70,563 / 70,563","$8,961,681",The_1989_World_Tour,34.05,-118.24,United States of America
Los Angeles,United States,Staples Center,"Vance Joy
Haim","70,563 / 70,563","$8,961,681",The_1989_World_Tour,34.05,-118.24,United States of America
Los Angeles,United States,Staples Center,"Vance Joy
Haim","70,563 / 70,563","$8,961,681",The_1989_World_Tour,34.05,-118.24,United States of America
Los Angeles,United States,Staples Center,"Vance Joy
Haim","70,563 / 70,563","$8,961,681",The_1989_World_Tour,34.05,-118.24,United States of America
Los Angeles,United States,Staples Center,"Vance Joy
Haim","70,563 / 70,563","$8,961,681",The_1989_World_Tour,34.05,-118.24,United States of America
San Diego,United States,Petco Park,"Vance Joy
Shawn Mendes","44,710 / 44,710","$5,475,237",The_1989_World_Tour,32.72,-117.16,United States of America
Salt Lake City,United States,EnergySolutions Arena,Vance Joy,"14,131 / 14,131","$1,589,686",The_1989_World_Tour,40.76,-111.89,United States of America
Denver,United States,Pepsi Center,Vance Joy,"27,126 / 27,126","$2,868,991",The_1989_World_Tour,39.74,-104.98,United States of America
Denver,United States,Pepsi Center,Vance Joy,"27,126 / 27,126","$2,868,991",The_1989_World_Tour,39.74,-104.98,United States of America
Houston,United States,Minute Maid Park,"Vance Joy
Shawn Mendes","40,122 / 40,122","$5,202,196",The_1989_World_Tour,29.76,-95.37,United States of America
Saint Paul,United States,Xcel Energy Center,Vance Joy,"45,126 / 45,126","$5,514,863",The_1989_World_Tour,44.95,-93.09,United States of America
Saint Paul,United States,Xcel Energy Center,Vance Joy,"45,126 / 45,126","$5,514,863",The_1989_World_Tour,44.95,-93.09,United States of America
Saint Paul,United States,Xcel Energy Center,Vance Joy,"45,126 / 45,126","$5,514,863",The_1989_World_Tour,44.95,-93.09,United States of America
Indianapolis,United States,Bankers Life Fieldhouse,Vance Joy,"14,010 / 14,010","$1,550,268",The_1989_World_Tour,39.77,-86.16,United States of America
Columbus,United States,Nationwide Arena,Vance Joy,"29,936 / 29,936","$3,369,693",The_1989_World_Tour,39.96,-82.99,United States of America
Columbus,United States,Nationwide Arena,Vance Joy,"29,936 / 29,936","$3,369,693",The_1989_World_Tour,39.96,-82.99,United States of America
Kansas City,United States,Sprint Center,Vance Joy,"27,857 / 27,857","$2,967,558",The_1989_World_Tour,39.1,-94.58,United States of America
Kansas City,United States,Sprint Center,Vance Joy,"27,857 / 27,857","$2,967,558",The_1989_World_Tour,39.1,-94.58,United States of America
Nashville,United States,Bridgestone Arena,"Vance Joy
Haim","28,917 / 28,917","$3,354,844",The_1989_World_Tour,36.17,-86.78,United States of America
Nashville,United States,Bridgestone Arena,"Vance Joy
Haim","28,917 / 28,917","$3,354,844",The_1989_World_Tour,36.17,-86.78,United States of America
St. Louis,United States,Scottrade Center,"Vance Joy
Haim","29,688 / 29,688","$3,452,940",The_1989_World_Tour,38.63,-90.2,United States of America
St. Louis,United States,Scottrade Center,"Vance Joy
Haim","29,688 / 29,688","$3,452,940",The_1989_World_Tour,38.63,-90.2,United States of America
Toronto,Canada,Rogers Centre,"Vance Joy
Shawn Mendes","99,283 / 99,283","$8,670,990",The_1989_World_Tour,43.65,-79.38,Canada
Toronto,Canada,Rogers Centre,"Vance Joy
Shawn Mendes","99,283 / 99,283","$8,670,990",The_1989_World_Tour,43.65,-79.38,Canada
Des Moines,United States,Wells Fargo Arena,Vance Joy,"13,969 / 13,969","$1,566,321",The_1989_World_Tour,41.59,-93.62,United States of America
Omaha,United States,CenturyLink Center Omaha,Vance Joy,"29,622 / 29,622","$3,121,421",The_1989_World_Tour,41.26,-95.94,United States of America
Omaha,United States,CenturyLink Center Omaha,Vance Joy,"29,622 / 29,622","$3,121,421",The_1989_World_Tour,41.26,-95.94,United States of America
Fargo,United States,Fargodome,Vance Joy,"21,067 / 21,067","$2,219,188",The_1989_World_Tour,46.88,-96.79,United States of America
Arlington,United States,AT&T Stadium,"Vance Joy
Shawn Mendes","62,630 / 62,630","$7,396,733",The_1989_World_Tour,32.74,-97.11,United States of America
Lexington,United States,Rupp Arena,Vance Joy,"17,084 / 17,084","$1,870,471",The_1989_World_Tour,38.04,-84.5,United States of America
Greensboro,United States,Greensboro Coliseum,Vance Joy,"15,079 / 15,079","$1,662,171",The_1989_World_Tour,36.07,-79.79,United States of America
Atlanta,United States,Georgia Dome,"Vance Joy
Shawn Mendes","56,046 / 56,046","$6,034,846",The_1989_World_Tour,33.75,-84.39,United States of America
Miami,United States,American Airlines Arena,Vance Joy,"14,044 / 14,044","$1,527,919",The_1989_World_Tour,25.77,-80.19,United States of America
Tampa,United States,Raymond James Stadium,"Vance Joy
Shawn Mendes","56,987 / 56,987","$6,202,515",The_1989_World_Tour,27.95,-82.46,United States of America
Singapore,Singapore,Singapore Indoor Stadium,,"17,726 / 17,726","$3,217,569",The_1989_World_Tour,1.35,103.82,Singapore
Singapore,Singapore,Singapore Indoor Stadium,,"17,726 / 17,726","$3,217,569",The_1989_World_Tour,1.35,103.82,Singapore
Shanghai,China,Mercedes-Benz Arena,,"37,758 / 37,758","$5,917,348",The_1989_World_Tour,31.23,121.47,China
Shanghai,China,Mercedes-Benz Arena,,"37,758 / 37,758","$5,917,348",The_1989_World_Tour,31.23,121.47,China
Shanghai,China,Mercedes-Benz Arena,,"37,758 / 37,758","$5,917,348",The_1989_World_Tour,31.23,121.47,China
Sydney,Australia,ANZ Stadium,Vance Joy,"75,980 / 75,980","$6,571,683",The_1989_World_Tour,-33.87,151.21,Australia
Brisbane,Australia,Suncorp Stadium,Vance Joy,"46,881 / 46,881","$4,759,471",The_1989_World_Tour,-27.47,153.03,Australia
Adelaide,Australia,Adelaide Entertainment Centre,Vance Joy,"20,090 / 20,090","$2,407,499",The_1989_World_Tour,-34.93,138.6,Australia
Adelaide,Australia,Adelaide Entertainment Centre,Vance Joy,"20,090 / 20,090","$2,407,499",The_1989_World_Tour,-34.93,138.6,Australia
Melbourne,Australia,AAMI Park,Vance Joy,"98,136 / 98,136","$10,421,553",The_1989_World_Tour,-37.81,144.96,Australia
Melbourne,Australia,AAMI Park,Vance Joy,"98,136 / 98,136","$10,421,553",The_1989_World_Tour,-37.81,144.96,Australia
Melbourne,Australia,AAMI Park,Vance Joy,"98,136 / 98,136","$10,421,553",The_1989_World_Tour,-37.81,144.96,Australia
Glendale,United States,University of Phoenix Stadium,"Camila Cabello
Charli XCX","59,157 / 59,157","$7,214,478",Reputation_Stadium_Tour,33.53,-112.19,United States of America
Santa Clara,United States,Levi's Stadium,"Camila Cabello
Charli XCX","107,550 / 107,550","$14,006,963",Reputation_Stadium_Tour,37.35,-121.95,United States of America
Santa Clara,United States,Levi's Stadium,"Camila Cabello
Charli XCX","107,550 / 107,550","$14,006,963",Reputation_Stadium_Tour,37.35,-121.95,United States of America
Pasadena,United States,Rose Bowl,"Camila Cabello
Charli XCX","118,084 / 118,084","$16,251,980",Reputation_Stadium_Tour,34.15,-118.14,United States of America
Pasadena,United States,Rose Bowl,"Camila Cabello
Charli XCX","118,084 / 118,084","$16,251,980",Reputation_Stadium_Tour,34.15,-118.14,United States of America
Seattle,United States,CenturyLink Field,Charli XCX,"56,021 / 56,021","$8,672,219",Reputation_Stadium_Tour,47.61,-122.33,United States of America
Denver,United States,Sports Authority Field at Mile High,"Camila Cabello
Charli XCX","57,140 / 57,140","$7,926,366",Reputation_Stadium_Tour,39.74,-104.98,United States of America
Chicago,United States,Soldier Field,"Camila Cabello
Charli XCX","105,208 / 105,208","$14,576,697",Reputation_Stadium_Tour,41.88,-87.63,United States of America
Chicago,United States,Soldier Field,"Camila Cabello
Charli XCX","105,208 / 105,208","$14,576,697",Reputation_Stadium_Tour,41.88,-87.63,United States of America
Manchester,England,Etihad Stadium,"Camila Cabello
Charli XCX","77,258 / 77,258","$6,169,724",Reputation_Stadium_Tour,53.48,-2.24,United Kingdom
Manchester,England,Etihad Stadium,"Camila Cabello
Charli XCX","77,258 / 77,258","$6,169,724",Reputation_Stadium_Tour,53.48,-2.24,United Kingdom
Dublin,Ireland,Croke Park,"Camila Cabello
Charli XCX","133,034 / 133,034","$8,567,769",Reputation_Stadium_Tour,53.33,-6.25,Ireland
Dublin,Ireland,Croke Park,"Camila Cabello
Charli XCX","133,034 / 133,034","$8,567,769",Reputation_Stadium_Tour,53.33,-6.25,Ireland
London,England,Wembley Stadium,"Camila Cabello
Charli XCX","143,427 / 143,427","$12,214,933",Reputation_Stadium_Tour,51.51,-0.13,United Kingdom
London,England,Wembley Stadium,"Camila Cabello
Charli XCX","143,427 / 143,427","$12,214,933",Reputation_Stadium_Tour,51.51,-0.13,United Kingdom
Louisville,United States,Cardinal Stadium,"Camila Cabello
Charli XCX","52,138 / 52,138","$4,928,219",Reputation_Stadium_Tour,38.25,-85.76,United States of America
Columbus,United States,Ohio Stadium,"Camila Cabello
Charli XCX","62,897 / 62,897","$6,606,529",Reputation_Stadium_Tour,39.96,-82.99,United States of America
Landover,United States,FedExField,"Camila Cabello
Charli XCX","95,672 / 95,672","$11,396,004",Reputation_Stadium_Tour,38.93,-76.87,United States of America
Landover,United States,FedExField,"Camila Cabello
Charli XCX","95,672 / 95,672","$11,396,004",Reputation_Stadium_Tour,38.93,-76.87,United States of America
Philadelphia,United States,Lincoln Financial Field,"Camila Cabello
Charli XCX","107,378 / 107,378","$11,951,047",Reputation_Stadium_Tour,39.95,-75.17,United States of America
Philadelphia,United States,Lincoln Financial Field,"Camila Cabello
Charli XCX","107,378 / 107,378","$11,951,047",Reputation_Stadium_Tour,39.95,-75.17,United States of America
Cleveland,United States,FirstEnergy Stadium,"Camila Cabello
Charli XCX","51,323 / 51,323","$5,148,757",Reputation_Stadium_Tour,41.5,-81.69,United States of America
East Rutherford,United States,MetLife Stadium,"Camila Cabello
Charli XCX","165,654 / 165,654","$22,031,386",Reputation_Stadium_Tour,40.82,-74.07,United States of America
East Rutherford,United States,MetLife Stadium,"Camila Cabello
Charli XCX","165,654 / 165,654","$22,031,386",Reputation_Stadium_Tour,40.82,-74.07,United States of America
East Rutherford,United States,MetLife Stadium,"Camila Cabello
Charli XCX","165,654 / 165,654","$22,031,386",Reputation_Stadium_Tour,40.82,-74.07,United States of America
Foxborough,United States,Gillette Stadium,"Camila Cabello
Charli XCX","174,764 / 174,764","$21,779,846",Reputation_Stadium_Tour,42.09,-71.26,United States of America
Foxborough,United States,Gillette Stadium,"Camila Cabello
Charli XCX","174,764 / 174,764","$21,779,846",Reputation_Stadium_Tour,42.09,-71.26,United States of America
Foxborough,United States,Gillette Stadium,"Camila Cabello
Charli XCX","174,764 / 174,764","$21,779,846",Reputation_Stadium_Tour,42.09,-71.26,United States of America
Toronto,Canada,Rogers Centre,"Camila Cabello
Charli XCX","100,310 / 100,310","$11,177,000",Reputation_Stadium_Tour,43.65,-79.38,Canada
Toronto,Canada,Rogers Centre,"Camila Cabello
Charli XCX","100,310 / 100,310","$11,177,000",Reputation_Stadium_Tour,43.65,-79.38,Canada
Pittsburgh,United States,Heinz Field,"Camila Cabello
Charli XCX","56,445 / 56,445","$6,230,876",Reputation_Stadium_Tour,40.44,-79.99,United States of America
Atlanta,United States,Mercedes-Benz Stadium,"Camila Cabello
Charli XCX","116,746 / 116,746","$18,089,415",Reputation_Stadium_Tour,33.75,-84.39,United States of America
Atlanta,United States,Mercedes-Benz Stadium,"Camila Cabello
Charli XCX","116,746 / 116,746","$18,089,415",Reputation_Stadium_Tour,33.75,-84.39,United States of America
Tampa,United States,Raymond James Stadium,"Camila Cabello
Charli XCX","55,909 / 55,909","$7,244,264",Reputation_Stadium_Tour,27.95,-82.46,United States of America
Miami Gardens,United States,Hard Rock Stadium,"Camila Cabello
Charli XCX","47,818 / 47,818","$7,072,164",Reputation_Stadium_Tour,25.94,-80.25,United States of America
Nashville,United States,Nissan Stadium,"Camila Cabello
Charli XCX","56,112 / 56,112","$9,007,179",Reputation_Stadium_Tour,36.17,-86.78,United States of America
Detroit,United States,Ford Field,"Camila Cabello
Charli XCX","49,464 / 49,464","$6,597,852",Reputation_Stadium_Tour,42.33,-83.05,United States of America
Minneapolis,United States,U.S. Bank Stadium,"Camila Cabello
Charli XCX","98,774 / 98,774","$10,242,024",Reputation_Stadium_Tour,44.98,-93.27,United States of America
Minneapolis,United States,U.S. Bank Stadium,"Camila Cabello
Charli XCX","98,774 / 98,774","$10,242,024",Reputation_Stadium_Tour,44.98,-93.27,United States of America
Kansas City,United States,Arrowhead Stadium,"Camila Cabello
Charli XCX","58,611 / 58,611","$6,730,138",Reputation_Stadium_Tour,39.1,-94.58,United States of America
Indianapolis,United States,Lucas Oil Stadium,"Camila Cabello
Charli XCX","55,729 / 55,729","$6,531,245",Reputation_Stadium_Tour,39.77,-86.16,United States of America
St. Louis,United States,The Dome at America's Center,"Camila Cabello
Charli XCX","47,831 / 47,831","$4,884,054",Reputation_Stadium_Tour,38.63,-90.2,United States of America
New Orleans,United States,Mercedes-Benz Superdome,"Camila Cabello
Charli XCX","53,172 / 53,172","$6,491,546",Reputation_Stadium_Tour,29.95,-90.07,United States of America
Houston,United States,NRG Stadium,"Camila Cabello
Charli XCX","53,800 / 53,800","$9,350,275",Reputation_Stadium_Tour,29.76,-95.37,United States of America
Arlington,United States,AT&T Stadium,"Camila Cabello
Charli XCX","105,002 / 105,002","$15,006,157",Reputation_Stadium_Tour,32.74,-97.11,United States of America
Arlington,United States,AT&T Stadium,"Camila Cabello
Charli XCX","105,002 / 105,002","$15,006,157",Reputation_Stadium_Tour,32.74,-97.11,United States of America
Perth,Australia,Optus Stadium,"Charli XCX
Broods","50,891 / 50,891","$4,153,658",Reputation_Stadium_Tour,-31.95,115.86,Australia
Melbourne,Australia,Marvel Stadium,"Charli XCX
Broods","63,027 / 63,027","$6,755,570",Reputation_Stadium_Tour,-37.81,144.96,Australia
Sydney,Australia,ANZ Stadium,"Charli XCX
Broods","72,805 / 72,805","$7,686,564",Reputation_Stadium_Tour,-33.87,151.21,Australia
Brisbane,Australia,The Gabba,"Charli XCX
Broods","43,907 / 43,907","$4,338,127",Reputation_Stadium_Tour,-27.47,153.03,Australia
Auckland,New Zealand,Mount Smart Stadium,"Charli XCX
Broods","35,749 / 35,749","$3,617,593",Reputation_Stadium_Tour,-36.86,174.77,New Zealand
Tokyo,Japan,Tokyo Dome,Charli XCX,"100,109 / 100,109","$14,859,847",Reputation_Stadium_Tour,35.69,139.69,Japan
Tokyo,Japan,Tokyo Dome,Charli XCX,"100,109 / 100,109","$14,859,847",Reputation_Stadium_Tour,35.69,139.69,Japan
